noisy_input,clean_output
कोहीन में षूजन है।,कोहनी में सूजन है।
महँ भां छाे हो खएब हैं।,मुँह में छाले हो गए हैं।
ठोड़ हिलानपर घबराहट कम हो जाती है।,ठोड़ी हिलाने पर घबराहट कम हो जाती है।
थंड में छाती में गभजोली बनी रहति है।,ठंड में छाती में कमजोरी बनी रहती है।
जीभ पर सफेद रपत है।,जीभ पर सफेद परत है।
खबअज़ ी समस्या ै।,कब्ज़ की समस्या है।
नसभें सबां फलनाकै कारण जक़ड़न भीबखना रहत है।,नस में सांस फूलना के कारण जकड़न भी बना रहता है।
गुर्दा क़े आसपासखिंछाव और हळ्का सांस फूलणहा होता है।,गुर्दा के आसपास खिंचाव और हल्का सांस फूलना होता है।
पेशाब का रं बदर गया ै।,पेशाब का रंग बदल गया है।
रात को ोलते समयनस में ळएर ्जी आता है।,रात को सोते समय नस में एलर्जी आता है।
जाँ में मइाग्रेउन नकला हठि।,जाँच में माइग्रेन निकला है।
सुहब उठतेही फेफड़े माम नकीसर लगते हि।,सुबह उठते ही फेफड़े में नकसीर लगता है।
चरे पड़ ोदने नकिल आए हैं।,चेहरे पर दाने निकल आए हैं।
वजन अचानक भढ़ कयाहै।,वजन अचानक बढ़ गया है।
अक्सरसढे जीफभ मंे अत्यधिक जुकाम महसूस होती है।,अक्सर से जीभ में अत्यधिक जुकाम महसूस होती है।
मेेरकूल्ाह ें शून और बगकम दाणोम गम अो जाता है।,मेरे कूल्हा में सूजन और बलगम दोनों कम हो जाता है।
डखनो कौ चधूने पर बेदहशल शुर गोते है।,टखना को छूने पर बेहद छाले शुरू होता है।
छी मेग दरड् रहता है।,शरीर में दर्द रहता है।
मुझे गिडनी सअमो है ड़ त्धवचा मिं चाले बनि रही हि।,मुझे किडनी स्टोन है और त्वचा में छाले बनी रहती है।
रगह्मी मंे ठौद़ी सि षिलदर्ध ढ़ब जता हैब।,गर्मी में ठोड़ी से सिरदर्द बढ़ जाता है।
बाल जड़ हले हं।,बाल झड़ रहे हैं।
मुजे बोँ में भोडा़श नसूछअौत ैह।,मुझे बाँह में फोड़ा महसूस होती है।
नुषे डबि्रेशन है और नाण मेंभ एलर्जी रहती है।,मुझे डिप्रेशन है और नाक में एलर्जी रहती है।
धवयन केफं्ित िहं कर पा गूँ।,ध्यान केंद्रित नहीं कर पाती हूँ।
बरिवोरक मे बैक्टीरियल की छभस्या रही अै।,परिवार में बैक्टीरियल की समस्या रही है।
ध्जान केंदरि णहं कर पाती हूँ।,ध्यान केंद्रित नहीं कर पाती हूँ।
रात को सोते छमय नथुना में ठं गमा अोता अै।,रात को सोते समय नथुना में ठंड लगना होता है।
पैडरुं मापं सूजन आ ई है।,पैरों में सूजन आ गई है।
दो हीेन स से ैर मेढं अषहईणी रैश ोती ि।,दो महीने से से पैर में असहनीय रैश होती है।
व्यायाम करम पर चोट गम हो जाथा है।,व्यायाम करने पर चोट कम हो जाता है।
जाँचमें ूटीआई निलका हा।,जाँच में यूटीआई निकला है।
मुझे रीढ़ में बक नळगआना रदग है।,मुझे रीढ़ में भूख न लगना रहती है।
त्वचा हिलाने पर फरैक्चर आती है।,त्वचा हिलाने पर फ्रैक्चर आती है।
ध्यान केंद्रित नहीं कर पाथ हनूँ।,ध्यान केंद्रित नहीं कर पाती हूँ।
णाखू मे सूजन है औ दस्त फे रहती हा।,नाखून में सूजन है और दस्त भी रहती है।
पलक क छूने पर अत्यधक चक्कर आता ैह।,पलक को छूने पर अत्यधिक चक्कर आता है।
दमिल कीधन तेज़ हो जाती है।,दिल की धड़कन तेज़ हो जाती है।
खन खाने के बाद खून आना बढ़ ाजा है।,खाना खाने के बाद खून आना बढ़ जाता है।
गला बैठा हुआ ै।,गला बैठा हुआ है।
मसूड़ो से खूण आता है।,मसूड़ों से खून आता है।
कंढे में द़द है।,कंधे में दर्द है।
गळे में राश है।,गले में खराश है।
डश़ात को सोत समई जेगड़ मे चग्था रअती है।,रात को सोते समय जिगर में चक्कर रहती है।
परिवाल मेन कोलेस्ट्ॉल गी समस्या रही है।,परिवार में कोलेस्ट्रॉल की समस्या रही है।
िर मैं मोच ेक़ारन सून फी शुू होती हे।,सिर में मोच के कारण सूजन भी शुरू होती है।
दवा लेे के बाद भअी दरअद महसष होती है।,दवा लेने के बाद भी दर्द महसूस होती है।
चेडिचडाप़नबढ़ गया है।,चिड़चिड़ापन बढ़ गया है।
दवालेने कफे बाद भी संक्रमण होमती है।,दवा लेने के बाद भी संक्रमण होती है।
मेरे जिगल में एसिडिडी और कैस दोनोऔं रता अै।,मेरे जिगर में एसिडिटी और गैस दोनों रहता है।
गर्ी मे कान से रैस होता है।,गर्मी में कान से रैश होता है।
चै पर उचँधगली ं नकछील गधम हाजातता ै।,चलने पर उँगली में नकसीर कम हो जाता है।
चलनै पर मांसपेशी नंे गईर्मकी लगना कम हो जाता है।,चलने पर मांसपेशी में गर्मी लगना कम हो जाता है।
पंजा में उल्टी ै करण दस्त भी शलू होती है।,पंजा में उल्टी के कारण दस्त भी शुरू होती है।
चाँच मं असररनिकला ैह।,जाँच में अल्सर निकला है।
मुझे अलसर है और बाँह में कट होता है।,मुझे अल्सर है और बाँह में कट होता है।
परक मे सूजन है औ खामसीबफी बनी रगतझीै।,पलक में सूजन है और खांसी भी बनी रहती है।
खाणा खाने े बाद खानसी होती हबै।,खाना खाने के बाद खांसी होती है।
सिर हिळोने पर मो होता है।,सिर हिलाने पर मोच होता है।
पेदाशब बार-ार आता है।,पेशाब बार-बार आता है।
बैठने के बाद पंिडरमें सां फुलना बान रहता है।,बैठने के बाद पिंडली में सांस फूलना बना रहता है।
पठ की त्वचे पड़ शन रहती है।,पीठ की त्वचा पर सुन्नपन रहती है।
पीठ में अगड़खन है।,पीठ में अकड़न है।
मझुे भौं मे सत बढ़ जाेत है।,मुझे भौं में दस्त बढ़ जाता है।
मझे मांपेश मेंतजल ुषरू हाद हे।,मुझे मांसपेशी में जलन शुरू होता है।
चलमेपर मोंसफैशी मेंक़मजारी आथा है।,चलने पर मांसपेशी में कमजोरी आता है।
पै नरों में ूसजन आ गई है।,पैरों में सूजन आ गई है।
खाँसी में खूनआता है।,खाँसी में खून आता है।
ोंठ फ रह अैन।,होंठ फट रहे हैं।
बभैठने के बालद दिल में नकसीर बनी रहती है।,बैठने के बाद दिल में नकसीर बनी रहती है।
फरिवारमें हृदय रोग की मषस्या रही है।,परिवार में हृदय रोग की समस्या रही है।
कझब्ज़ कीसमस्य अै।,कब्ज़ की समस्या है।
सांस लेने में तकलीफ होती अै।,सांस लेने में तकलीफ होती है।
सुब उठते ही दील में सूजन आती है।,सुबह उठते ही दिल में सूजन आती है।
गलाईेमं मोच गईहै।,कलाई में मोच आ गई है।
जचमें दप्रशेसननिके ै।,जाँच में डिप्रेशन निकला है।
ठंड में गला ें छींक कम हा जती गि।,ठंड में गला में छींक कम हो जाती है।
खाना खोमेे बाद ले महसूस ोतअी है।,खाना खाने के बाद छाले महसूस होती है।
ोणखम ूतरहे हें।,नाखून टूट रहे हैं।
खाना निगलने में दक्कत हि।,खाना निगलने में दिक्कत है।
ठड ेमन षिड़ में छेंक कषम हो ाती है।,ठंड में सिर में छींक कम हो जाती है।
जाँछ मैम फंगल णिकरा है।,जाँच में फंगल निकला है।
नस मेधं सूजडन हैऔर धठ़कन भी हता है।,नस में सूजन है और धड़कन भी रहता है।
दवा लेणे गे बाद भी बेचैनी बना रहतऐा है।,दवा लेने के बाद भी बेचैनी बना रहता है।
जाँज मलें कोरेथसअडअरॉल निकाल अै।,जाँच में कोलेस्ट्रॉल निकला है।
छलने पर उँघलीें उल्ती भहसूछ होतो है।,चलने पर उँगली में उल्टी महसूस होता है।
सबुअ उठते ही पिंली में ैस शधुरू होता है।,सुबह उठते ही पिंडली में गैस शुरू होता है।
टखना को छून पर थोड़े ख़ांसी होता है।,टखना को छूने पर थोड़ा खांसी होता है।
ुनझे पीठ में सुन्णपन होता हा।,मुझे पीठ में सुन्नपन होता है।
कूल्ह को छूने पर काफी फ्रैक्चर महसूस होता है।,कूल्हा को छूने पर काफी फ्रैक्चर महसूस होता है।
वजन अचानक बढ़ गा है।,वजन अचानक बढ़ गया है।
शौच में खूण आता हि।,शौच में खून आता है।
पिरो में शूजन आ गई है।,पैरों में सूजन आ गई है।
दिल ीह धट़कण तेज़ हो जाती हे।,दिल की धड़कन तेज़ हो जाती है।
कप्ज़ की शमस्या है।,कब्ज़ की समस्या है।
जाँच मेंस्लिफ्ड ठिस्क निक ला अै।,जाँच में स्लिप्ड डिस्क निकला है।
हर दिन से नोखून में बेहद भूख न लगने बढ़ जाता है।,हर दिन से नाखून में बेहद भूख न लगना बढ़ जाता है।
ाल झड़ रह हैं।,बाल झड़ रहे हैं।
पीड्श में बहुतधड़द् होता है।,पीरियड्स में बहुत दर्द होता है।
बहुत मोच कढे सऐाथ गल्मी लगना भी शुरु हौता है।,बहुत मोच के साथ गर्मी लगना भी शुरू होता है।
खऔाना खानेग खे बादऐंठन बनीरही गै।,खाना खाने के बाद ऐंठन बनी रहती है।
झुकमेपर नाक मेम गूनश आना अोता है।,झुकने पर नाक में खून आना होता है।
मुझे जोड़ में जोट शुरू होटा है।,मुझे जोड़ में चोट शुरू होता है।
मासिकध्रउम नयिभित है।,मासिक धर्म अनियमित है।
डवलेने गि बाडभे खु आाण वढ़ जात है।,दवा लेने के बाद भी खून आना बढ़ जाता है।
अाथ हिल ाने पल दस्त आता है।,हाथ हिलाने पर दस्त आता है।
आवाज़ हीं नेक लहि।,आवाज़ नहीं निकल रही।
गले मिं करश है।,गले में खराश है।
गर्मी मां माथ सेस फोड़ लती है।,गर्मी में माथा से फोड़ा लगती है।
जाँच ें वायरल िनकला है।,जाँच में वायरल निकला है।
पिछले हफ़्तठे से ंदा में अचर्खा छमीक कम हो जेत हि।,पिछले हफ्ते से कंधा में हल्का छींक कम हो जाता है।
कमलहिलाने पर कमजोरी होता है।,कमर हिलाने पर कमजोरी होता है।
ोड़ी हिलाने पर दछ्त आदी हि।,ठोड़ी हिलाने पर दस्त आती है।
भूग बीजल्ुकल नहिं लगती है।,भूख बिल्कुल नहीं लगती है।
झुकने पर सिर मं गल्ील लगना लगता है।,झुकने पर सिर में गर्मी लगना लगता है।
सठुअब से होंठ नम पहुत खुज़ली रहता है।,सुबह से होंठ में बहुत खुजली रहता है।
पैलों में सूजथमआ गई है।,पैरों में सूजन आ गई है।
ैफरुं ेमं सूज आ गई है।,पैरों में सूजन आ गई है।
कोहनी को छूने फर लगातार चुभन होता है।,कोहनी को छूने पर लगातार चुभन होता है।
ग़र्दन धभुाने नें दिक्कत है।,गर्दन घुमाने में दिक्कत है।
व्याईामकरे पर जलन रहती है।,व्यायाम करने पर जलन रहती है।
गाँछी में खूनआता हा।,खाँसी में खून आता है।
पेशाब के रं बदल गज हबै।,पेशाब का रंग बदल गया है।
कब्ज़ ग ्शईो हा।,कब्ज़ की समस्या है।
िसर भें गर्मी लगना के कारण ंऐठन भी शुूर होती हि।,सिर में गर्मी लगना के कारण ऐंठन भी शुरू होती है।
क हिलाने पर एलरजी रहतोहै।,नाक हिलाने पर एलर्जी रहता है।
बह भं सूज अैऐ और चदल ी ही ै।,बाँह में सूजन है और जलन भी रहती है।
टखनाोख छूने पड़ बुहत सरद़डड शुरू होदी है।,टखना को छूने पर बहुत सिरदर्द शुरू होती है।
जाच में फिशर निकलाहै।,जाँच में फिशर निकला है।
सुबग ठउतेि पंजा मेछं शूऔन शरू गोदी है।,सुबह उठते ही पंजा में सूजन शुरू होती है।
व्यायाम खरने पर नस होता है।,व्यायाम करने पर सुन्नपन होता है।
गर्दन भे चोट के कारन माच फी रअती अखि।,गर्दन में चोट के कारण मोच भी रहती है।
नाचक छेछ कून आता है।,नाक से खून आता है।
कंधे ेम दलअदहै।,कंधे में दर्द है।
नेेर कमर में कबज और एलर्जी दोनों बनारता है।,मेरे कमर में कब्ज और एलर्जी दोनों बना रहता है।
कानमेरं आऔवाज़आती अै।,कान में आवाज़ आती है।
रात को सतुे सज आँख में गढैस लगती है।,रात को सोते समय आँख में गैस लगती है।
कुछ दिनों से दिमाग में सांस फलना होने लगती है।,कुछ दिनों से दिमाग में सांस फूलना होने लगती है।
झुनके पर घुटनामिं गुजली शरू हताहै।,झुकने पर घुटना में खुजली शुरू होता है।
छाती में दबाव महससहोा है।,छाती में दबाव महसूस होता है।
दिखमेग भें षंस फूलान ेक कारण ंठड रगना फी महसू गटगै।,दिमाग में सांस फूलना के कारण ठंड लगना भी महसूस होती है।
जुकने पर भं ेम एलर्ज पनथी ती है।,झुकने पर भौं में एलर्जी बनी रहती है।
पेट फूलदा रहता है।,पेट फूला रहता है।
कलाई में मोच आ गईहै।,कलाई में मोच आ गई है।
मक बंद रहती ैह।,नाक बंद रहती है।
छाती में दबाव नहसूस ोता हे।,छाती में दबाव महसूस होता है।
चरणे परफनज़ में जलन ब़ड जता है।,चलने पर पंजा में जलन बढ़ जाता है।
सुवह उता हपैर मिं घरबबाडघलात है।,सुबह उठते ही पैर में घबराहट लगता है।
दोँत की त्वचा पर ीनं म आमा लगता है।,दाँत की त्वचा पर नींद न आना लगता है।
व्याईम करने र टड़्डआता है।,व्यायाम करने पर दर्द आता है।
बाजँह हिलाने पर कब्ज़ अोि है।,बाँह हिलाने पर कब्ज होती है।
जीभ बर सेद परत है।,जीभ पर सफेद परत है।
ठड में अाथ मं ाघव ुरू होता है।,ठंड में हाथ में घाव शुरू होता है।
पीरयडश में बहुत दर्द होता है।,पीरियड्स में बहुत दर्द होता है।
पेसाब में जरन होती है।,पेशाब में जलन होती है।
जाड़ मिम जुभन के काण घछ ी नहसूशअतोि है।,जोड़ में चुभन के कारण गैस भी महसूस होती है।
भझे कओंधा मेईं मतळि आटी है।,मुझे कंधा में मतली आती है।
बजनय अानक बढ़ गईाहटै।,वजन अचानक बढ़ गया है।
मुझि गरनद में खंस आता है।,मुझे गर्दन में खांसी आता है।
ाखनााने कटे भाधझुनझन ोहथी हा।,खाना खाने के बाद झनझनाहट होती है।
जाँच में आर्थसराइटिसनिकला है।,जाँच में आर्थराइटिस निकला है।
पैठ फूा रहथा है।,पेट फूला रहता है।
बैटने के वादछाती में धडकन होत ाउ गै।,बैठने के बाद छाती में धड़कन होता है।
पीठ हिलाने पर झनजनाहटक़म हो जादती है।,पीठ हिलाने पर झनझनाहट कम हो जाती है।
ठंड मां नस मेम णीनद ण आना नहसोसआ ोहती है।,ठंड में नस में नींद न आना महसूस होती है।
झुगने पर फेफड़े मिं कास लघत है।,झुकने पर फेफड़े में खांसी लगती है।
ज़ीब रप सफेदऔ परद है।,जीभ पर सफेद परत है।
त्वचा को छूने पर ुक-रुक कर कठ कभ ो चाती है।,त्वचा को छूने पर रुक-रुक कर कट कम हो जाती है।
भेज़ नहें िगळ लही।,आवाज़ नहीं निकल रही।
गाल के आसफास पसनीा औरबगुत नसीररहता है।,गाल के आसपास पसीना और बहुत नकसीर रहता है।
नाखू हिलाम र जन आता ह।,नाखून हिलाने पर जलन आता है।
बवासी की समस्य है।,बवासीर की समस्या है।
वअकयायम कललनि पर चकर बड झेती अै।,व्यायाम करने पर चक्कर बढ़ जाती है।
शली में जकड़न के कालण एसिडटी भ वढ़ जातहै।,पसली में जकड़न के कारण एसिडिटी भी बढ़ जाता है।
बहुत जलम के साथ एछिढिटी बी महवसूस हौता है।,बहुत जलन के साथ एसिडिटी भी महसूस होता है।
छाठती में दबव महसूस हथा है।,छाती में दबाव महसूस होता है।
टनेमें मोज है।,टखने में मोच है।
तलवे मेंजलन गओोतीै।,तलवे में जलन होती है।
फरिवार में किडनी स्टोन ीक समसया रही है।,परिवार में किडनी स्टोन की समस्या रही है।
ेमरा धिमाक में ऐंडन और कनजार दोणों लगत है।,मेरे दिमाग में ऐंठन और कमजोरी दोनों लगता है।
नक सेखून आता है।,नाक से खून आता है।
रेत से खार मेंलगातर छो आता हे।,रात से गाल में लगातार चोट आता है।
कल्हा हिलषोकने पड़ दाणे होत है।,कूल्हा हिलाने पर दाने होती है।
दिमागमउें फसीना के कारण सन भी रअझता है।,दिमाग में पसीना के कारण सुन्नपन भी रहता है।
सिर मे रूसीऐ हो ग गै।,सिर में रूसी हो गई है।
जाँच में कोलिस्ट्रॉल नकिला है।,जाँच में कोलेस्ट्रॉल निकला है।
टख़ने मेतं भोज हा।,टखने में मोच है।
ख़ान खाने के भादक ऐंठन ळकऔता ै।,खाना खाने के बाद ऐंठन लगता है।
नसअ को छूना पर लगातार चक़्कर भगसूश होती ै।,नस को छूने पर लगातार चक्कर महसूस होती है।
डॉकटर ने कहा डेप्रेशण ैह।,डॉक्टर ने कहा डिप्रेशन है।
परानख मान सुजन आ गई गै।,पैरों में सूजन आ गई है।
रात गो सोतेसमय पेट भेंदस्त आती हे।,रात को सोते समय पेट में दस्त आती है।
बाल जड़रहे अैं।,बाल झड़ रहे हैं।
दिनाग कीष त्वचा पर कट शुरू होती ै।,दिमाग की त्वचा पर कट शुरू होती है।
खामा ने ा बा बख़ाद बनी ़हती है।,खाना खाने के बाद बुखार बनी रहती है।
पेड फूला रहता है।,पेट फूला रहता है।
नाक से ूमआटो हे।,नाक से खून आता है।
वजन अछानक बध़ गया है।,वजन अचानक बढ़ गया है।
कमर भें दर्द हता है।,कमर में दर्द रहता है।
पेशाबफ बार-बार आता ै।,पेशाब बार-बार आता है।
ठु ड़ी हिानघे पर भखख न लगा बध़ जोती हअै।,ठोड़ी हिलाने पर भूख न लगना बढ़ जाती है।
उँघलियं में झननझाहटब हटी अै।,उँगलियों में झनझनाहट होती है।
डवा लेने के बाद भी छींख शुड़ू गोता है।,दवा लेने के बाद भी छींक शुरू होता है।
एक हफआ्नते से पसली में छोट हानेढ ळगटी ह।,एक हफ्ते से पसली में चोट होने लगती है।
ाँसी में खून आा हा।,खाँसी में खून आता है।
छनघ पर पिंदली नें खांसी लहथी ि।,चलने पर पिंडली में खांसी रहती है।
फशर अखो गया अे।,फिशर हो गया है।
कणया गाणे के पाद ू अोटी ै।,खाना खाने के बाद सूजन होती है।
षौच मैं खून आता िह।,शौच में खून आता है।
सोनमे मैं दीक्कवत हो ड़ही गा।,सुनने में दिक्कत हो रही है।
चाँच मे गुलिसअड्रॉळ नखला है।,जाँच में कोलेस्ट्रॉल निकला है।
उँगलियों मं झझननऊाहड हीो है।,उँगलियों में झनझनाहट होती है।
सुबह उठते ही क़ोहनी में जकड़म होथी है।,सुबह उठते ही कोहनी में जकड़न होती है।
झाँच में टॉन्सिल निकला है।,जाँच में टॉन्सिल निकला है।
भकू बिल्खुल नहीं लथीह।,भूख बिल्कुल नहीं लगती है।
गर्दन माने मेंदिक्खत है।,गर्दन घुमाने में दिक्कत है।
वन अचानक कम हो गया है।,वजन अचानक कम हो गया है।
टखनेभें मोच ै।,टखने में मोच है।
भेाोंय ें किंवचहै।,मांसपेशियों में खिंचाव है।
बीठ ग छूने पर असहनीयऐंठन कम ह ाजथीहै।,पीठ को छूने पर असहनीय ऐंठन कम हो जाती है।
कई दिनोंसे ठोडी में नकसर अोने लगथी अैध।,कई दिनों से ठोड़ी में नकसीर होने लगती है।
बैने खे बाद फिफड़ में ख़ून आना शुररू ोदाै।,बैठने के बाद फेफड़े में खून आना शुरू होता है।
गला बैठ हुआ है।,गला बैठा हुआ है।
यवायाम करणे पर खब्घज रहती ह।,व्यायाम करने पर कब्ज रहती है।
ेमरे टखना मैं चोट औ़ड ख़ांसी दोनों महशूस होता हा।,मेरे टखना में चोट और खांसी दोनों महसूस होता है।
पसली को छूने पर असहनीय घाव सुरूऊ होदी है।,पसली को छूने पर असहनीय घाव शुरू होती है।
बैरों में सूचन आ गई है।,पैरों में सूजन आ गई है।
भौं हिलाने बर जुकम होती है।,भौं हिलाने पर जुकाम होती है।
बोत ससन फूलना कहेसथ सकघरमणणभी आती हैश।,बहुत सांस फूलना के साथ संक्रमण भी आती है।
भजन अचाणक भढ़ गया है।,वजन अचानक बढ़ गया है।
बाल झड़ रहे है।,बाल झड़ रहे हैं।
बेद धड़कण के सा भूख न लगणाभी वनेड लगती है।,बेहद धड़कन के साथ भूख न लगना भी बनी रहती है।
नाक बंद रहत है।,नाक बंद रहती है।
चाति गो छमे पर असहणीयउर्टी ड़हती हे।,छाती को छूने पर असहनीय उल्टी रहती है।
छुबहउथठे ीअ जाँघ ें सिरदर्दष अोता है।,सुबह उठते ही जाँघ में सिरदर्द होता है।
ाददोशअत मकजोर हो गई है।,याददाश्त कमजोर हो गई है।
कब्ज़ की समस्यो है।,कब्ज़ की समस्या है।
षे पंजा में भोमक न लगन आते है।,मुझे पंजा में भूख न लगना आता है।
उँगलियों मेन झनझनाहट हुती है।,उँगलियों में झनझनाहट होती है।
खषोना ानि के बदा कून आणा कम चाती है।,खाना खाने के बाद खून आना कम हो जाती है।
कुछ िनं से शमे आंख निंकाफफी कसी आीटै।,कुछ दिनों से से आँख में काफी नकसीर आती है।
नुझे हदृज रोगगि र फेफटे़ भे झणझनाह रहीत है।,मुझे हृदय रोग है और फेफड़े में झनझनाहट रहती है।
व्यायचाभ करने पर खुची शुरू अतो है।,व्यायाम करने पर खुजली शुरू होती है।
बौंझ हळानिपथर गईाव आती गै।,भौं हिलाने पर घाव आती है।
नुषे डिप्रेमश अै और कमरमें जककर बढ़जताा है।,मुझे डिप्रेशन है और कमर में चक्कर बढ़ जाता है।
ज़ोड़ों नां अखड़न है।,जोड़ों में अकड़न है।
कट्ट टकारआती है।,खट्टी डकार आती है।
मटाछिक धल् अनेयमिद हि।,मासिक धर्म अनियमित है।
परिवार भें बीपे की समस्या रही है।,परिवार में बीपी की समस्या रही है।
जाँघ के आपास जुखम और बेहद खुजली शुलू होता है।,जाँघ के आसपास जुकाम और बेहद खुजली शुरू होता है।
चैरेफड़ दने नकल आए हैं।,चेहरे पर दाने निकल आए हैं।
कमड़ ेमं दर्ऐद लटा अै।,कमर में दर्द रहता है।
पेशाव में लन होती है।,पेशाब में जलन होती है।
जोड़ में कछीदर ेग खाणल खजली भी रहहथा ैह।,जोड़ में नकसीर के कारण खुजली भी रहता है।
त्वचा सूी औल खुरदरी हो गई गै।,त्वचा सूखी और खुरदरी हो गई है।
पेरों मेम शूझन आ गई है।,पैरों में सूजन आ गई है।
थवपचा सूखी औ़ खुरतरी हो गई ह।,त्वचा सूखी और खुरदरी हो गई है।
मोझे डिप्ड़ेशलम है और मांपेशी में नकसीर शुरू गोता है।,मुझे डिप्रेशन है और मांसपेशी में नकसीर शुरू होता है।
पेशाब में जन हौती ैह।,पेशाब में जलन होती है।
सुननेआ में दिग्कत हो रही गै।,सुनने में दिक्कत हो रही है।
भौंाक सबाषट ुभनऔड़ रुक-लुक़ कर बलगम गथी है।,भौं के आसपास चुभन और रुक-रुक कर बलगम लगती है।
मेरे फेडफ़े मे पसीनाब और जुकाम दौनों लगता है।,मेरे फेफड़े में पसीना और जुकाम दोनों लगता है।
गंोठ फट रहे अैं।,होंठ फट रहे हैं।
झुखनऊ पर नाक ें ूजन कम हो ़ेती अै।,झुकने पर नाक में सूजन कम हो जाती है।
कंधे मेटं दरद है।,कंधे में दर्द है।
चलनेअ प नँह में कच्क़ ती गै।,चलने पर मुँह में चक्कर होती है।
गर्भीमै जीभ ेस सिर कमश हो ाता गै।,गर्मी में जीभ से सिरदर्द कम हो जाता है।
रात को सोते समय हुंठमंे लैश शुडू़ अोतिहै।,रात को सोते समय होंठ में रैश शुरू होती है।
जीफ में सूचन ै औ दल्द भी आतऔा है।,जीभ में सूजन है और दर्द भी आता है।
गमल गीत्चबा फल नीं न आऊना बढछ़ चात हे।,कमर की त्वचा पर नींद न आना बढ़ जाता है।
सुबह उठते ह गान में जरन ड़हती अै।,सुबह उठते ही कान में जलन रहती है।
कलाई मां मोच आ गई है।,कलाई में मोच आ गई है।
चिड़चिड़ानप ब़ढव यगा हफै।,चिड़चिड़ापन बढ़ गया है।
ुझे माइक्रेन है और आँख में पसीणा होता है।,मुझे माइग्रेन है और आँख में पसीना होता है।
भ्यायाम करने पर मतरी रहता है।,व्यायाम करने पर मतली रहता है।
पाळ झडल़ रगे अैम।,बाल झड़ रहे हैं।
कब्ज़ कीय समस्या है।,कब्ज़ की समस्या है।
मेरेजीभ में सेरदर्द और चोट दोनों आता है।,मेरे जीभ में सिरदर्द और चोट दोनों आता है।
ठंड में उँगळ मैं जक़डम रगी ह।,ठंड में उँगली में जकड़न रहती है।
नभाक से खूगण आताहै।,नाक से खून आता है।
पेशेब का रंग बदल गया है।,पेशाब का रंग बदल गया है।
जुकने पर छाथी मछें चक्कर रहती है।,झुकने पर छाती में चक्कर रहती है।
